Rndrng_NPI,HCPCS_Degree_Centrality,HCPCS_Closeness_Centrality,HCPCS_PageRank,Provider Type_Closeness_Centrality,Provider Type_PageRank
1881039238,4.24e-05,20.45790606,4.23e-05,8.548716371,6.18e-05
1700330628,4.24e-05,29.43299092,2.6e-05,16.85053907,2.59e-05
1457862930,4.24e-05,36.93983601,2.59e-05,8.848059611,1.81e-05
1700892858,4.24e-05,0.09984438534,2.38e-05,3.322941496,1.98e-05
1124318381,4.24e-05,7.769901307,2.84e-05,1.170361157,3.44e-05
1538125836,4.24e-05,34.91019008,1.5e-05,26.10624523,8.43e-06
1912940024,4.24e-05,19.67039551,1.8e-05,25.24534999,9.1e-06
1477704252,4.24e-05,25.09969263,1.83e-05,1.343498345,1.61e-05
1881012557,4.24e-05,14.53570574,1.17e-05,11.32464772,4.39e-05
1336117779,4.24e-05,35.66843534,1.98e-05,1.124426633,1.58e-05
1881663615,4.24e-05,28.0370124,1.57e-05,25.64112821,1.32e-05
1649531286,4.24e-05,0.008865708688,4.48e-05,4.217831784,0.000109915284
1306848809,4.24e-05,35.56469952,1.49e-05,1.150032146,9.46e-06
1508878364,4.24e-05,5.922499405,3.07e-05,2.791610819,1.25e-05
1881990604,4.24e-05,39.61458335,1.73e-05,22.67500692,1.64e-05
1205595493,4.24e-05,38.64759587,2.03e-05,20.61406057,2.06e-05
1225449754,4.24e-05,25.32233405,9.96e-06,1.038136733,1.46e-05
1669431516,4.24e-05,24.78709081,2.06e-05,14.15234184,2.49e-05
1376207746,4.24e-05,31.87027577,3.05e-05,12.38254946,4.18e-05
1265400816,4.24e-05,40.60890019,1.2e-05,33.84210196,7.29e-06
1952579021,4.24e-05,36.02998458,1.89e-05,20.84778105,2.93e-05
1598739476,4.24e-05,31.13761955,3.69e-05,15.52075,2.9e-05
1053394817,4.24e-05,0.2694299727,2.36e-05,24.27510239,2.36e-05
1235156746,4.24e-05,0.7783148025,2.01e-05,1.224447304,9.85e-06
1023142254,4.24e-05,17.94442772,9.63e-06,1.461198706,9.49e-06
1992020069,4.24e-05,28.74251947,2.4e-05,1.574696439,2.87e-05
1487938254,4.24e-05,0.04382547027,3.04e-05,18.35682598,1.67e-05
1750342242,4.24e-05,0.5410719683,3.26e-05,21.02589565,2.89e-05
1619533635,4.24e-05,5.718255447,3.1e-05,16.00712369,2.52e-05
1902124340,4.24e-05,25.43952858,1.75e-05,0.5689022202,3.1e-05
1447436126,4.24e-05,24.94108533,1.88e-05,0.5631184023,1.82e-05
1578521266,8.47e-05,32.0556103,3.33e-05,4.308311028,1.51e-05
1336246206,4.24e-05,37.67225634,1.81e-05,7.955875396,1.36e-05
1770511453,4.24e-05,0.2335282349,4.47e-05,22.23797815,1.69e-05
1801004858,4.24e-05,0.11375632,4.06e-05,0.6783425487,3.66e-05
1972552107,4.24e-05,0.2547727098,3.16e-05,18.73463876,1.61e-05
1861550790,4.24e-05,31.5244844,1.71e-05,1.541392469,1.99e-05
1184677841,4.24e-05,0.004306494042,2.82e-05,0.2856659326,4.69e-05
1164630190,4.24e-05,0.7879300319,1.66e-05,35.62029197,1.25e-05
1578501664,4.24e-05,27.15529747,2.85e-05,0.6551493223,4.1e-05
1508854274,4.24e-05,13.12456533,1.43e-05,1.207620251,1.38e-05
1467769760,4.24e-05,0.004989690796,3.39e-05,1.155383768,7.79e-05
1407206824,4.24e-05,40.33145425,1.98e-05,42.9756779,8.46e-06
1154539807,4.24e-05,21.07317616,9.6e-06,0.5513321942,7.68e-06
1902889124,4.24e-05,24.64346209,1.99e-05,9.022150384,1.76e-05
1518055854,4.24e-05,0.05629534613,4.44e-05,1.494172835,2.08e-05
1891744249,4.24e-05,33.31885639,1.61e-05,0.1198008129,1.04e-05
1942746615,4.24e-05,0.04899571886,2.01e-05,9.661537417,5.67e-05
1205821477,4.24e-05,31.04419454,3.05e-05,0.4738545125,1.08e-05
1497746887,4.24e-05,38.55107732,2.4e-05,32.16944785,8.25e-06
1164578779,4.24e-05,24.10948568,2.87e-05,4.394149154,1.46e-05
1447236435,4.24e-05,0.06241587428,2.23e-05,2.478320271,8.35e-06
1295841682,4.24e-05,23.3228579,2.01e-05,3.084061884,2.22e-05
1659313971,4.24e-05,8.87486239,1.34e-05,1.451487573,3.21e-05
1518233972,4.24e-05,38.64759587,2.03e-05,4.008951055,1.45e-05
1609873066,4.24e-05,26.03122599,3.92e-05,11.9302503,3.17e-05
1710513221,4.24e-05,25.41898881,3.03e-05,1.411302973,3e-05
1245280601,4.24e-05,29.6209019,2.51e-05,17.25845237,2.5e-05
1184652323,4.24e-05,1.029905993,2.31e-05,3.05515501,1.04e-05
1194884338,4.24e-05,38.11054803,1.41e-05,3.996064303,1.72e-05
1851460570,4.24e-05,0.2458123168,2.93e-05,4.46931095,1.45e-05
1710249529,4.24e-05,29.94953784,1.74e-05,1.699622648,1.45e-05
1124069695,8.47e-05,24.18939706,8.3e-05,3.762570087,0.0001245606736
1891787172,4.24e-05,0.3480514691,2.85e-05,3.014515202,2.3e-05
1437349925,4.24e-05,32.56764074,2.83e-05,0.9877253476,1.49e-05
1700956620,4.24e-05,0.1014263218,4.24e-05,3.134181653,1.09e-05
1447613005,4.24e-05,24.94484108,1.67e-05,18.22015716,1.69e-05
1376631622,4.24e-05,35.74127823,1.96e-05,1.612521313,3.19e-05
1427188903,4.24e-05,0.4237714852,1.44e-05,17.36693845,2.23e-05
1760440929,4.24e-05,30.80330924,1.97e-05,20.19826862,1.97e-05
1437604287,4.24e-05,31.92069377,1.49e-05,1.425732119,1.39e-05
1629108675,4.24e-05,7.090666074,1.63e-05,40.9848583,9.41e-06
1962804930,4.24e-05,39.62098625,1.73e-05,10.65601157,1.32e-05
1871545715,4.24e-05,38.62529484,2.15e-05,42.76535296,8.56e-06
1609144617,4.24e-05,26.67235214,3e-05,9.80250004,5.57e-05
1366447468,4.24e-05,0.06407283224,3.21e-05,0.8325196069,8.3e-06
1427282524,4.24e-05,34.61406499,1.68e-05,25.16989385,9.16e-06
1871025445,4.24e-05,32.50525211,2.06e-05,1.532903337,8.52e-06
1831181759,4.24e-05,40.16776447,1.99e-05,34.80257737,1.31e-05
1316915135,4.24e-05,38.63093771,2.25e-05,1.796846298,1.13e-05
1689639072,4.24e-05,42.27298035,1.93e-05,43.90989266,8.04e-06
1487613378,4.24e-05,0.0217946068,2.9e-05,0.2869433604,1.39e-05
1568825834,4.24e-05,31.24724841,2.26e-05,1.0596314,1.74e-05
1679510838,4.24e-05,0.506242681,2.63e-05,25.98694267,1.29e-05
1821097882,4.24e-05,0.2089577123,2.15e-05,28.76535268,1.81e-05
1932502218,4.24e-05,14.45656986,2.25e-05,21.16782111,1.98e-05
1619298171,4.24e-05,0.001039411744,3.56e-05,0.2225559829,0.0002711070165
1932156031,4.24e-05,12.57113167,2.62e-05,0.9203792086,2.16e-05
